Item_Identifier;Item_Weight;Item_Fat_Content;Item_Visibility;Item_Type;Item_MRP;Outlet_Identifier;Outlet_Establishment_Year;Outlet_Size;Outlet_Location_Type;Outlet_Type;Item_Outlet_Sales
FDA15;;low fat;0.328390948;Canned;146.0418;OUT019;1985;Small;Tier 1;Grocery Store;588.5672
DRC01;;Low Fat;0.325780807;Household;252.7698;OUT019;1985;Small;Tier 1;Grocery Store;761.0094
FDN15;;Low Fat;0.32111501;Fruits and Vegetables;100.77;OUT019;1985;Small;Tier 1;Grocery Store;199.74
FDX07;12.35;Regular;0.311090379;Baking Goods;79.2328;OUT010;1998;;Tier 3;Grocery Store;154.4656
NCD19;7.67;Low Fat;0.309390255;Household;33.2216;OUT010;1998;;Tier 3;Grocery Store;138.4864
FDP36;;Low Fat;0.308145448;Fruits and Vegetables;222.0772;OUT019;1985;Small;Tier 1;Grocery Store;889.5088
FDO10;;Low Fat;0.306542848;Soft Drinks;147.3102;OUT019;1985;Small;Tier 1;Grocery Store;291.6204
FDP10;;Low Fat;0.305305397;Fruits and Vegetables;116.6834;OUT019;1985;Small;Tier 1;Grocery Store;460.7336
FDH17;;LF;0.304859104;Baking Goods;125.4362;OUT019;1985;Small;Tier 1;Grocery Store;755.0172
FDU28;;Low Fat;0.304737387;Dairy;54.7298;OUT019;1985;Small;Tier 1;Grocery Store;107.8596
FDY07;;LF;0.30374337;Snack Foods;196.011;OUT019;1985;Small;Tier 1;Grocery Store;589.233
FDA03;;Regular;0.302478871;Snack Foods;155.4972;OUT019;1985;Small;Tier 1;Grocery Store;311.5944
FDX32;;Regular;0.299097859;Dairy;157.863;OUT019;1985;Small;Tier 1;Grocery Store;469.389
FDS46;;Low Fat;0.298205272;Hard Drinks;55.7614;OUT019;1985;Small;Tier 1;Grocery Store;110.5228
FDF32;18.1;Low Fat;0.297883712;Dairy;156.7288;OUT010;1998;;Tier 3;Grocery Store;314.2576
FDP49;;LF;0.297312685;Canned;185.4266;OUT019;1985;Small;Tier 1;Grocery Store;368.8532
NCB42;19.1;Low Fat;0.296713665;Household;171.8422;OUT010;1998;;Tier 3;Grocery Store;1034.6532
FDP49;11.1;Low Fat;0.294948897;Baking Goods;159.0604;OUT010;1998;;Tier 3;Grocery Store;792.302
DRI11;;Low Fat;0.294939214;Frozen Foods;47.106;OUT019;1985;Small;Tier 1;Grocery Store;139.818
FDU02;;Low Fat;0.293417759;Household;194.6136;OUT019;1985;Small;Tier 1;Grocery Store;583.2408
FDN22;;Low Fat;0.293066133;Household;177.0712;OUT019;1985;Small;Tier 1;Grocery Store;351.5424
FDW12;17.7;Low Fat;0.291865402;Fruits and Vegetables;115.1834;OUT010;1998;;Tier 3;Grocery Store;345.5502
NCB30;9.3;LF;0.291826616;Snack Foods;107.1964;OUT010;1998;;Tier 3;Grocery Store;420.7856
FDC37;9.1;Low Fat;0.291438755;Baking Goods;126.8362;OUT010;1998;;Tier 3;Grocery Store;125.8362
FDR28;11.5;LF;0.290430317;Fruits and Vegetables;130.6652;OUT010;1998;;Tier 3;Grocery Store;258.3304
NCD06;;Regular;0.289522833;Fruits and Vegetables;172.0764;OUT019;1985;Small;Tier 1;Grocery Store;171.7764
FDV10;18.6;Regular;0.28701714;Meat;48.8376;OUT010;1998;;Tier 3;Grocery Store;47.9376
DRJ59;11.5;Low Fat;0.286357776;Snack Foods;123.9704;OUT010;1998;;Tier 3;Grocery Store;375.5112
FDE51;9.395;Regular;0.286344848;Fruits and Vegetables;139.1838;OUT010;1998;;Tier 3;Grocery Store;280.9676
FDC14;;LF;0.284065879;Snack Foods;105.5622;OUT019;1985;Small;Tier 1;Grocery Store;211.7244
FDV38;7.155;Regular;0.281509514;Breads;33.8874;OUT010;1998;;Tier 3;Grocery Store;35.2874
NCS17;17.35;Low Fat;0.280164929;Household;177.5712;OUT010;1998;;Tier 3;Grocery Store;527.3136
FDP33;;Regular;0.279886948;Frozen Foods;193.1478;OUT019;1985;Small;Tier 1;Grocery Store;387.4956
FDO23;10.1;Low Fat;0.279783532;Soft Drinks;241.8512;OUT010;1998;;Tier 3;Grocery Store;484.7024
DRH01;;low fat;0.278974075;Soft Drinks;225.372;OUT019;1985;Small;Tier 1;Grocery Store;679.116
NCX29;;Regular;0.278730642;Fruits and Vegetables;63.2194;OUT019;1985;Small;Tier 1;Grocery Store;247.6776
FDV20;;Regular;0.277459381;Meat;156.3946;OUT019;1985;Small;Tier 1;Grocery Store;473.3838
DRZ11;;Regular;0.274592283;Breakfast;167.8474;OUT019;1985;Small;Tier 1;Grocery Store;336.8948
FDX10;12.35;LF;0.274405193;Household;117.1124;OUT010;1998;;Tier 3;Grocery Store;355.5372
FDB34;;Regular;0.27321283;Fruits and Vegetables;240.9538;OUT019;1985;Small;Tier 1;Grocery Store;480.7076
FDU02;18.2;Low Fat;0.270300331;Fruits and Vegetables;38.319;OUT010;1998;;Tier 3;Grocery Store;109.857
FDK43;16.85;Regular;0.267565911;Frozen Foods;194.1478;OUT010;1998;;Tier 3;Grocery Store;1162.4868
FDA46;16.1;Regular;0.267352587;Frozen Foods;34.9558;OUT010;1998;;Tier 3;Grocery Store;67.9116
FDC02;;Regular;0.26639671;Frozen Foods;215.6218;OUT019;1985;Small;Tier 1;Grocery Store;641.1654
FDL50;;Low Fat;0.266234421;Breakfast;98.5358;OUT019;1985;Small;Tier 1;Grocery Store;402.1432
FDM39;;Regular;0.264124669;Meat;155.7314;OUT019;1985;Small;Tier 1;Grocery Store;155.1314
NCP05;;Low Fat;0.25637539;Breads;94.8436;OUT019;1985;Small;Tier 1;Grocery Store;567.2616
FDV49;;Regular;0.256152243;Seafood;151.005;OUT019;1985;Small;Tier 1;Grocery Store;149.805
FDL12;;Low Fat;0.255929096;Meat;103.3648;OUT019;1985;Small;Tier 1;Grocery Store;311.5944
FDS02;;Regular;0.255394896;Dairy;196.8794;OUT019;1985;Small;Tier 1;Grocery Store;780.3176
NCL17;7.68;Low Fat;0.255348289;Health and Hygiene;84.4224;OUT010;1998;;Tier 3;Grocery Store;170.4448
FDM40;;Low Fat;0.253947823;Health and Hygiene;223.8404;OUT019;1985;Small;Tier 1;Grocery Store;675.1212
FDR13;20.35;Regular;0.252865979;Meat;82.7276;OUT010;1998;;Tier 3;Grocery Store;162.4552
FDA43;7.825;Regular;0.251094747;Frozen Foods;156.6288;OUT010;1998;;Tier 3;Grocery Store;628.5152
NCP18;;Low Fat;0.250560049;Breakfast;126.9994;OUT019;1985;Small;Tier 1;Grocery Store;385.4982
FDK21;;LF;0.248301532;Snack Foods;124.1072;OUT019;1985;Small;Tier 1;Grocery Store;245.0144
NCX54;;Low Fat;0.24749009;Dairy;263.1884;OUT019;1985;Small;Tier 1;Grocery Store;529.9768
DRK35;;Low Fat;0.247321039;Snack Foods;152.3998;OUT019;1985;Small;Tier 1;Grocery Store;153.7998
FDY21;;Low Fat;0.246678647;Breads;129.7994;OUT019;1985;Small;Tier 1;Grocery Store;385.4982
FDI26;;Regular;0.245542627;Seafood;172.2764;OUT019;1985;Small;Tier 1;Grocery Store;171.7764
FDM20;10.195;Regular;0.245483691;Frozen Foods;141.8838;OUT010;1998;;Tier 3;Grocery Store;280.9676
FDV27;;Regular;0.245407386;Baking Goods;92.812;OUT019;1985;Small;Tier 1;Grocery Store;93.212
FDF09;;Low Fat;0.244338986;Dairy;105.9306;OUT019;1985;Small;Tier 1;Grocery Store;209.0612
FDY40;;Low Fat;0.244102315;Snack Foods;148.076;OUT019;1985;Small;Tier 1;Grocery Store;146.476
FDY45;12.15;Low Fat;0.242768664;Health and Hygiene;226.5404;OUT010;1998;;Tier 3;Grocery Store;225.0404
